ID;referencia1;referencia2;referencia3;referencia4;referencia5;referencia6;referencia7;referencia8;referencia9;referencia10;referencia11;referencia12;
1;4141;4142;4140;4139;4138;4137;;;;;;;
2;4147;4148;4146;4145;4144;4143;;;;;;;
3;4156;4188;4192;;;;;;;;;;
4;4158;4159;4152;4153;4154;4155;4162;4163;;;;;
5;4160;4161;;;;;;;;;;;
6;4168;4169;4188;4190;;;;;;;;;
7;4170;4171;4164;4165;4166;4167;4174;4175;;;;;
8;4172;4173;;;;;;;;;;;
9;4180;4188;;;;;;;;;;;
10;4182;4183;4176;4177;4178;4179;4186;4187;;;;;
11;4184;4185;;;;;;;;;;;
12;4204;4205;;;;;;;;;;;
13;4206;4207;4208;4209;;;;;;;;;
14;4210;4211;4212;4213;;;;;;;;;
15;4214;4215;;;;;;;;;;;
16;4216;4217;4218;4219;;;;;;;;;
17;4220;4221;4222;4223;;;;;;;;;
18;4224;4225;;;;;;;;;;;
19;4226;4227;4228;4229;;;;;;;;;
20;4230;4231;4232;4233;;;;;;;;;
21;4236;4237;4234;4235;;;;;;;;;
22;4238;4239;4244;4245;;;;;;;;;
23;4251;4252;4253;4254;4255;4256;4257;;;;;;
24;4258;4259;4260;4261;4262;4263;4257;;;;;;
25;4272;4225;;;;;;;;;;;
26;4273;4225;;;;;;;;;;;
27;4274;4275;;;;;;;;;;;
28;4276;4277;;;;;;;;;;;
29;4278;4279;;;;;;;;;;;
30;4280;4281;;;;;;;;;;;
31;4283;4284;;;;;;;;;;;
32;4314;4315;4313;4312;4311;4310;4307;4306;4305;4304;4303;4302;
33;4316;4317;4313;4312;4311;4310;4309;4308;4305;4304;4303;4302;
34;4317;4316;;;;;;;;;;;
35;4321;4334;4330;4329;4328;4327;4326;4325;4322;4321;;;
36;4331;4332;4330;4329;4328;4327;4324;4323;4322;4321;4302;4303;
37;4333;4334;4330;4329;4328;4327;4326;4325;4322;4321;4302;4303;
38;4338;4339;4336;4337;4342;4343;4344;4345;4346;4347;4350;4351;
39;4340;4341;;;;;;;;;;;
40;4342;4343;;;;;;;;;;;
41;4348;4349;4338;4339;4336;4337;4340;4343;4341;4345;4346;4347;
42;4350;4351;4338;4339;4336;4337;4342;4343;4344;4345;4346;4347;
43;4351;4350;;;;;;;;;;;
44;4364;4362;4361;4363;4372;4373;4359;4360;;;;;
45;4383;4384;4385;4386;4387;4388;4389;4390;4391;4392;;;
46;4393;4394;4385;4386;4387;4388;4389;4390;4391;4392;;;
47;4403;4404;4385;4386;4387;4388;4389;4390;4391;4392;;;
48;4416;4417;4418;4419;4420;4421;4422;4423;4424;4425;;;
49;4426;4427;4418;4419;4420;4421;4422;4423;4424;4425;;;
50;4436;4437;4418;4419;4420;4421;4422;4423;4424;4425;;;
51;4446;4447;4448;4449;4450;4451;4452;4453;4470;4471;;;
52;4454;4394;4448;4449;4450;4451;4452;4453;4470;4471;;;
53;4462;4463;4448;4449;4450;4451;4452;4453;4470;4471;;;
54;4499;4500;;;;;;;;;;;
55;4501;4502;4497;4498;4503;4504;4505;4506;;;;;
56;4507;4508;;;;;;;;;;;
57;4514;4515;;;;;;;;;;;
58;4516;4517;4512;4513;4518;4519;4520;4521;;;;;
59;4522;4523;;;;;;;;;;;
60;4524;4525;;;;;;;;;;;
61;4526;4527;4528;4529;;;;;;;;;
62;4530;4531;;;;;;;;;;;
63;4557;4558;;;;;;;;;;;
64;4566;4567;;;;;;;;;;;
65;4566;4567;;;;;;;;;;;
66;4568;4569;4570;4571;;;;;;;;;
67;4579;4578;;;;;;;;;;;
